401780	
39634	
426846	
105937	
71556	
426388	 50.1136, 49.8535, 56.7365, 36.3258, 45.3799, 43.9945, 42.8419, 32.8925, 30.7652, 49.3662, 50.0397, 42.2067, 53.1307, 42.8583, 53.8590, 47.0746, 54.3874
402629	
213346	
216137	138.7077
427528	140.1944
37242	
94806	
24894	
416227	
47481	
218915	
433007	
209481	
93783	
61368	
428514	
22946	
413854	 62.3025
2393	
421343	120.8734,125.8535
76804	
111236	
55397	
45824	
205155	
62347	
13596	
101722	
417008	
203887	
78352	
93955	
411916	
40041	
204059	
38976	
60863	
40279	
36869	
419700	 45.8097, 69.2101, 71.0116, 72.6872, 74.7598
80517	
22175	
100882	145.4949
68475	152.8131,152.9281,155.3949,157.5715,152.0192
219637	 81.7331
85125	
95725	
413342	
414718	
31742	
20503	
7217	
208011	
46564	
414124	
41060	
438703	
78870	
439890	
409682	
24263	
217686	
21863	
101611	
100940	
18297	
92012	
96500	
429488	
403825	
412277	
418635	
10280	
42789	
65774	
421962	
106752	
409496	
86336	
49964	
432349	
420312	
20842	
29344	
80303	
12662	
98728	
95908	
89741	
80508	
41932	 90.1985, 90.8474
402637	
49775	
401	
44659	
400302	 36.6297
38835	
108331	
204526	
435273	 87.8467, 85.8919, 90.0561
42532	
52455	
427557	103.8905, 70.7187, 88.8816,102.8556, 96.8734,100.3970, 91.0664, 98.8474, 92.4025
402240	
90409	
31450	
86522	
65018	
32315	
210249	
5750	
39753	
49402	
39543	
82822	
208817	
218345	
430041	
410484	
72328	
25322	
411294	124.8323,119.8138,123.4333,134.5079,105.4346
417993	
411813	
111228	
74982	
25960	
22918	151.8987,156.9008,151.3949,136.5530
92242	148.9446
19745	
33851	
27591	158.6557,194.4285,191.8522,176.6489,187.9863,175.5181,156.2218,164.0684,184.3012,186.2669,174.8501,177.3279,178.9815
439612	
109381	
39113	
104999	
431226	150.6886,151.0554,152.7885,154.6804,153.1307
42689	
14124	
401327	
411394	
35956	
99198	
432001	
209416	
58726	
429275	
218230	 74.6557, 74.4887
436623	
