 2227	NA	NA	NA	NA	NA
 2602	NA	  8972	NA	21.462	40
12794	NA	NA	NA	NA	NA
 3012	NA	  9940	NA	27.2991	40
 4568	 86528	 18673	25.3497	19.6249	44.6376
 7341	NA	NA	NA	NA	NA
22428	NA	103397	NA	22.7105	45
22381	102640	103151	31.3648	23.1595	50.89735
 4214	NA	 16407	NA	23.332	50
 1145	NA	NA	NA	NA	NA
10205	NA	NA	NA	NA	NA
20054	NA	 93407	NA	22.6037	58.5852
16462	NA	NA	NA	NA	NA
15863	NA	NA	NA	NA	NA
12477	NA	NA	NA	NA	NA
 3210	NA	 12523	NA	20.3094	54.7624
 3224	  8468	  8356	41.6098	41.9575	47.5
 9070	 10509	NA	38.516	NA	40
20398	 81602	 83474	28.2026	23.373	45
20694	NA	NA	NA	NA	NA
 3960	NA	 15503	NA	22.3545	50
18863	NA	NA	NA	NA	NA
 2681	 10187	 10494	17.5058	16.6242	52.5
17650	 85693	NA	27.5154	NA	40
22455	103624	NA	21.5496	NA	40
10076	 44467	 44422	27.0719	27.1485	47.5
13581	 82469	 82321	19.9863	21.462	47.26215
17851	 47839	 86678	25.1553	20.4079	47.5
16865	NA	  8628	NA	51.0636	45
21293	NA	NA	NA	NA	NA
21376	NA	NA	NA	NA	NA
 9811	NA	NA	NA	NA	NA
 5750	NA	NA	NA	NA	NA
 3338	NA	 10970	NA	32.1341	45
14404	NA	 74696	NA	21.2402	45
15389	NA	NA	NA	NA	NA
14154	 72031	 73646	22.5407	16.7036	49.58145
10470	 50705	NA	18.1876	NA	45
 4182	 16750	 16619	20.8843	21.6811	47.5
11509	NA	NA	NA	NA	NA
 1961	  6661	NA	17.295	NA	40
 2023	NA	NA	NA	NA	NA
20770	 98885	NA	20.5092	NA	40
21886	 47089	 46953	20.7638	21.1116	45
 9796	  9805	NA	51.2745	NA	45
15877	 59851	 68423	19.165	19.3101	59.2902
 6051	NA	 22420	NA	30.1082	40
